iter	Passed	Remaining
0	0	89
1	1	82
2	2	80
3	3	79
4	4	84
5	5	81
6	5	78
7	6	76
8	7	74
9	8	72
10	8	70
11	9	69
12	10	68
13	10	66
14	11	65
15	12	64
16	12	63
17	13	62
18	14	61
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	51
31	23	50
32	24	49
33	25	48
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
