iter	Passed	Remaining
0	8	8132
1	9	4793
2	10	3486
3	11	2831
4	12	2407
5	12	2137
6	13	1933
7	14	1796
8	15	1693
9	16	1618
10	17	1546
11	17	1476
12	18	1425
13	19	1374
14	20	1331
15	21	1295
16	21	1262
17	23	1259
18	24	1248
19	24	1223
20	25	1201
21	26	1181
22	27	1165
23	28	1153
24	29	1136
25	29	1119
26	30	1102
27	31	1088
28	32	1075
29	32	1065
30	33	1054
31	34	1044
32	35	1035
33	36	1026
34	37	1020
35	38	1020
36	38	1013
37	39	1005
38	40	1001
39	41	994
40	42	988
41	43	982
42	43	976
43	44	971
44	45	964
45	46	966
46	47	961
47	48	960
48	49	955
49	50	950
50	50	945
51	51	940
52	52	944
53	53	940
54	54	935
55	55	930
56	55	926
57	56	921
58	57	917
59	58	914
60	59	910
61	60	908
62	60	904
63	61	901
64	62	898
65	63	894
66	63	891
67	64	887
68	65	884
69	66	882
70	67	881
71	68	878
72	68	875
73	69	871
74	70	868
75	71	865
76	71	862
77	72	858
78	73	855
79	74	852
80	74	849
81	75	845
82	75	839
83	76	836
84	77	833
85	78	831
86	78	828
87	79	826
88	80	823
89	81	824
90	82	825
91	83	823
92	84	820
93	84	817
94	85	815
95	86	812
96	87	810
97	87	808
98	88	806
99	89	803
100	90	801
101	90	799
102	91	797
103	92	795
104	93	793
105	93	791
106	94	789
107	95	789
108	96	788
109	97	786
110	98	785
111	98	783
112	99	781
113	100	779
114	101	777
115	101	776
116	102	774
117	103	772
118	104	771
119	104	769
120	105	767
121	106	764
122	107	763
123	107	761
124	108	759
125	109	758
126	110	756
127	110	756
128	112	756
129	112	755
130	113	753
131	114	751
132	115	749
133	116	749
134	116	749
135	117	747
136	118	746
137	119	745
138	120	743
139	120	742
140	121	741
141	122	737
142	122	736
143	123	735
144	124	735
145	125	736
146	126	735
147	127	734
148	128	732
149	129	731
150	129	730
151	130	729
152	131	727
153	132	725
154	132	724
155	133	723
156	134	721
157	135	720
158	135	719
159	136	717
160	137	715
161	138	714
162	138	712
163	139	712
164	140	711
165	141	711
166	142	709
167	143	708
168	143	707
169	145	708
170	145	707
171	146	706
172	147	705
173	148	704
174	149	703
175	149	702
176	150	701
177	151	700
178	152	699
179	153	698
180	154	698
181	155	697
182	156	696
183	156	695
184	157	695
185	158	694
186	159	693
187	160	692
188	161	691
189	161	689
190	162	688
191	163	687
192	164	685
193	164	684
194	165	683
195	166	682
196	167	681
197	167	680
198	168	679
199	170	681
200	172	684
201	173	683
202	173	683
203	174	682
204	175	681
205	176	680
206	177	679
207	178	678
208	178	676
209	179	675
210	180	675
211	181	673
212	182	672
213	183	672
214	184	671
215	184	670
216	185	669
217	186	668
218	187	667
219	188	667
220	189	666
221	189	665
222	190	663
223	191	662
224	192	662
225	193	661
226	193	659
227	194	658
228	195	657
229	195	655
230	196	655
231	197	654
232	198	653
233	199	652
234	200	651
235	201	651
236	202	650
237	202	649
238	203	648
239	204	647
240	205	645
241	205	644
242	206	643
243	207	642
244	208	641
245	209	640
246	209	639
247	210	638
248	211	638
249	212	638
250	213	637
251	214	636
252	215	635
253	216	634
254	216	633
255	217	632
256	218	632
257	219	631
258	220	630
259	221	629
260	221	628
261	222	627
262	223	626
263	224	625
264	225	624
265	226	623
266	227	623
267	227	622
268	228	621
269	229	620
270	230	619
271	231	618
272	231	617
273	232	616
274	233	615
275	234	614
276	234	613
277	235	612
278	236	611
279	237	610
280	238	609
281	238	607
282	239	606
283	240	606
284	241	605
285	242	604
286	242	603
287	243	602
288	244	601
289	245	600
290	246	599
291	246	598
292	247	597
293	248	596
294	249	595
295	250	594
296	250	593
297	251	592
298	252	591
299	253	590
300	254	590
301	255	590
302	256	589
303	257	588
304	258	587
305	258	587
306	259	586
307	260	585
308	261	584
309	262	583
310	262	582
311	263	581
312	264	579
313	264	578
314	265	577
315	266	576
316	267	575
317	268	574
318	269	574
319	270	573
320	270	572
321	271	571
322	272	571
323	273	570
324	274	569
325	274	568
326	275	567
327	276	566
328	277	565
329	278	564
330	278	563
331	279	562
332	280	561
333	281	560
334	281	559
335	282	559
336	283	558
337	284	557
338	285	556
339	286	555
340	287	554
341	287	553
342	288	552
343	289	551
344	290	551
345	291	550
346	291	549
347	292	548
348	293	547
349	294	546
350	295	545
351	295	544
352	296	543
353	297	542
354	298	541
355	298	540
356	299	539
357	300	539
358	301	538
359	302	537
360	302	536
361	304	535
362	305	535
363	305	534
364	306	533
365	307	532
366	308	531
367	308	530
368	309	529
369	310	528
370	311	527
371	312	526
372	312	525
373	313	525
374	314	524
375	315	523
376	315	522
377	316	521
378	317	520
379	318	520
380	319	519
381	320	518
382	321	517
383	321	516
384	322	515
385	323	514
386	324	514
387	325	513
388	326	512
389	327	512
390	328	511
391	329	510
392	330	509
393	330	509
394	331	508
395	332	506
396	333	505
397	333	504
398	334	503
399	335	502
400	336	501
401	336	501
402	337	500
403	338	499
404	339	498
405	340	497
406	341	497
407	342	496
408	342	495
409	343	494
410	345	494
411	346	494
412	346	493
413	347	492
414	348	491
415	349	490
416	349	489
417	350	488
418	351	487
419	352	486
420	352	485
421	353	484
422	354	484
423	355	483
424	356	482
425	357	481
426	358	480
427	359	479
428	359	479
429	360	478
430	361	477
431	362	476
432	363	475
433	364	474
434	364	473
435	365	472
436	366	471
437	367	470
438	368	470
439	368	469
440	369	468
441	370	467
442	371	466
443	372	465
444	372	465
445	373	464
446	374	463
447	375	462
448	375	461
449	376	460
450	377	459
451	378	458
452	378	457
453	379	456
454	380	455
455	381	454
456	381	453
457	382	453
458	384	452
459	385	452
460	385	451
461	386	450
462	387	449
463	388	448
464	389	447
465	390	447
466	390	446
467	391	445
468	392	444
469	393	443
470	394	442
471	394	441
472	395	440
473	396	439
474	397	439
475	398	438
476	399	437
477	400	436
478	400	436
479	401	435
480	402	434
481	403	433
482	404	432
483	404	431
484	405	430
485	406	430
486	407	429
487	408	428
488	408	427
489	409	426
490	410	425
491	411	424
492	412	423
493	413	423
494	413	422
495	414	421
496	415	420
497	416	419
498	417	419
499	418	418
500	418	417
501	419	416
502	420	415
503	421	414
504	421	413
505	422	412
506	423	411
507	424	410
508	424	409
509	425	409
510	426	408
511	427	407
512	429	407
513	429	406
514	430	405
515	431	405
516	432	404
517	433	403
518	434	402
519	435	401
520	435	400
521	436	399
522	437	398
523	438	398
524	438	397
525	439	396
526	440	395
527	442	395
528	443	394
529	443	393
530	444	392
531	445	391
532	446	390
533	446	389
534	447	388
535	448	387
536	448	387
537	449	386
538	450	385
539	451	384
540	451	383
541	452	382
542	453	381
543	454	380
544	454	379
545	455	379
546	456	378
547	457	377
548	458	376
549	459	375
550	460	375
551	461	374
552	462	373
553	462	372
554	463	371
555	464	370
556	465	370
557	465	369
558	466	368
559	467	367
560	468	366
561	469	365
562	470	364
563	471	364
564	472	363
565	473	362
566	473	361
567	474	360
568	475	360
569	476	359
570	476	358
571	477	357
572	478	356
573	479	355
574	479	354
575	480	353
576	481	353
577	482	352
578	483	351
579	484	350
580	485	349
581	485	348
582	486	348
583	487	347
584	488	346
585	489	345
586	489	344
587	490	343
588	491	342
589	492	341
590	492	341
591	493	340
592	494	339
593	495	338
594	495	337
595	496	336
596	497	335
597	498	334
598	499	334
599	500	333
600	501	332
601	501	331
602	502	330
603	503	330
604	504	329
605	505	328
606	505	327
607	506	326
608	507	325
609	507	324
610	508	323
611	509	322
612	510	322
613	510	321
614	511	320
615	512	319
616	513	318
617	514	317
618	515	317
619	515	316
620	516	315
621	517	314
622	518	313
623	518	312
624	519	311
625	520	310
626	521	309
627	521	309
628	523	308
629	524	307
630	524	306
631	525	306
632	526	305
633	527	304
634	528	303
635	528	302
636	529	301
637	530	300
638	531	300
639	531	299
640	532	298
641	533	297
642	534	296
643	534	295
644	535	294
645	536	293
646	536	292
647	537	292
648	538	291
649	539	290
650	540	289
651	540	288
652	541	287
653	542	287
654	543	286
655	544	285
656	545	284
657	545	283
658	547	283
659	547	282
660	548	281
661	549	280
662	550	279
663	550	278
664	551	277
665	552	276
666	552	276
667	553	275
668	554	274
669	555	273
670	555	272
671	556	271
672	557	270
673	558	270
674	559	269
675	559	268
676	560	267
677	561	266
678	561	265
679	562	264
680	563	263
681	564	263
682	565	262
683	565	261
684	566	260
685	567	259
686	568	258
687	568	257
688	569	257
689	570	256
690	570	255
691	571	254
692	572	253
693	573	252
694	574	252
695	575	251
696	575	250
697	576	249
698	577	248
699	577	247
700	578	246
701	579	245
702	580	245
703	580	244
704	581	243
705	582	242
706	583	241
707	584	240
708	584	239
709	585	239
710	586	238
711	587	237
712	588	236
713	588	235
714	589	234
715	590	234
716	591	233
717	592	232
718	593	231
719	593	230
720	594	230
721	595	229
722	596	228
723	596	227
724	597	226
725	598	225
726	599	224
727	599	224
728	600	223
729	601	222
730	603	221
731	603	221
732	604	220
733	605	219
734	606	218
735	606	217
736	607	216
737	608	215
738	609	215
739	609	214
740	610	213
741	611	212
742	612	211
743	612	210
744	613	209
745	614	209
746	615	208
747	616	207
748	616	206
749	617	205
750	618	205
751	619	204
752	619	203
753	620	202
754	621	201
755	622	200
756	622	199
757	623	199
758	624	198
759	624	197
760	625	196
761	626	195
762	627	194
763	627	193
764	628	193
765	629	192
766	629	191
767	630	190
768	631	189
769	632	188
770	633	188
771	633	187
772	634	186
773	635	185
774	636	184
775	636	183
776	637	182
777	638	182
778	639	181
779	639	180
780	640	179
781	641	178
782	641	177
783	642	177
784	643	176
785	644	175
786	644	174
787	646	173
788	647	173
789	647	172
790	648	171
791	649	170
792	650	169
793	651	168
794	652	168
795	652	167
796	653	166
797	654	165
798	654	164
799	655	163
800	656	163
801	657	162
802	657	161
803	658	160
804	659	159
805	660	158
806	661	158
807	661	157
808	662	156
809	663	155
810	664	154
811	664	153
812	665	153
813	666	152
814	667	151
815	667	150
816	668	149
817	669	148
818	669	148
819	670	147
820	671	146
821	672	145
822	672	144
823	673	143
824	674	143
825	675	142
826	676	141
827	676	140
828	677	139
829	678	138
830	679	138
831	680	137
832	680	136
833	681	135
834	682	134
835	683	134
836	683	133
837	684	132
838	685	131
839	685	130
840	686	129
841	687	128
842	688	128
843	689	127
844	690	126
845	691	125
846	691	124
847	692	124
848	693	123
849	694	122
850	694	121
851	695	120
852	696	120
853	697	119
854	698	118
855	698	117
856	699	116
857	700	115
858	700	115
859	701	114
860	703	113
861	704	112
862	705	111
863	706	111
864	706	110
865	707	109
866	708	108
867	709	107
868	710	107
869	711	106
870	711	105
871	712	104
872	713	103
873	714	102
874	714	102
875	715	101
876	716	100
877	717	99
878	718	98
879	719	98
880	721	97
881	721	96
882	722	95
883	723	94
884	724	94
885	724	93
886	725	92
887	726	91
888	727	90
889	728	89
890	728	89
891	729	88
892	730	87
893	731	86
894	732	85
895	733	85
896	734	84
897	735	83
898	735	82
899	736	81
900	737	81
901	738	80
902	739	79
903	740	78
904	740	77
905	741	76
906	742	76
907	743	75
908	744	74
909	744	73
910	745	72
911	746	72
912	747	71
913	748	70
914	748	69
915	749	68
916	750	67
917	751	67
918	752	66
919	752	65
920	753	64
921	754	63
922	755	62
923	756	62
924	756	61
925	757	60
926	758	59
927	759	58
928	759	58
929	761	57
930	762	56
931	763	55
932	764	54
933	765	54
934	765	53
935	766	52
936	767	51
937	768	50
938	769	49
939	770	49
940	770	48
941	771	47
942	772	46
943	773	45
944	774	45
945	775	44
946	776	43
947	776	42
948	777	41
949	778	40
950	779	40
951	780	39
952	780	38
953	781	37
954	782	36
955	783	36
956	784	35
957	784	34
958	785	33
959	786	32
960	787	31
961	788	31
962	789	30
963	790	29
964	790	28
965	791	27
966	792	27
967	793	26
968	794	25
969	794	24
970	795	23
971	796	22
972	797	22
973	798	21
974	798	20
975	799	19
976	800	18
977	801	18
978	802	17
979	802	16
980	803	15
981	804	14
982	805	13
983	806	13
984	807	12
985	808	11
986	809	10
987	810	9
988	810	9
989	811	8
990	812	7
991	813	6
992	813	5
993	814	4
994	815	4
995	816	3
996	817	2
997	818	1
998	819	0
999	820	0
